# latitude,longitude,height above datum (meters),error (meters)
# Geodetic Datum --> Name: D_MARS  Spheroid: MARS  Semi-major axis: 3396190  Semi-minor axis: 3396190  Meridian: Reference Meridian at 0
# Projection: +proj=longlat +a=3396190 +b=3396190 +no_defs
18.40305,77.23788,-1821.399999999809,232.1565732983547
18.39793,77.23719,-1832.540000000267,61.02628388406878
18.39281,77.23650000000001,-1895.439999999959,53.53667984894513
18.3877,77.23581,-1978.979999999314,60.1387220816034
18.38258,77.23511999999999,-2054.329999999876,24.4556463969698
18.37747,77.23443,-2063.840000000146,48.28401029055502
18.37235,77.23374,-2066.230000000226,43.33638006055311
18.36724,77.23305000000001,-2071.770000000276,33.91033210574513
18.36212,77.23236,-2068.230000000614,61.27645547315677
18.35701,77.23166999999999,-2061.78999999971,38.34362315994944
18.35189,77.23098,-2058.490000000729,49.03441378121376
18.34678,77.23029,-2059.319999999027,49.60663738510528
18.34166,77.22960999999999,-2059.360000000272,36.19268497674399
18.33655,77.22892000000002,-2064.989999999728,56.80196996620401
18.33143,77.22823000000001,-2061.600000000586,39.26449766014876
18.32632,77.22754000000002,-2077.010000000041,35.71324504168123
18.3212,77.22685,-2076.709999999756,51.20042317741242
18.31609,77.22615999999999,-2090.910000000401,29.6564401880116
18.31098,77.22547,-2103.679999999916,48.23134224707309
18.30586,77.22478000000001,-2107.470000000191,34.31432778540094
18.30075,77.22409,-2100.550000000191,31.64718900069358
18.29563,77.22340999999999,-2094.87000000031,52.60970129308806
18.28543,77.22201000000001,-2092.000000000001,45.95387890038642
18.28033,77.22131999999999,-2087.42999999959,39.50937654200035
18.27522,77.22063000000001,-2077.369999999929,32.05838666778127
18.27012000000001,77.21994000000001,-2079.810000000433,55.37978001736074
18.26502,77.21925,-2072.020000000135,34.57510635506884
18.25991,77.21854999999999,-2073.779999999466,43.29744107338988
18.25481,77.21786,-2099.410000000165,40.66486344179678
18.2497,77.21717,-2098.669999999388,27.63083385757924
18.2446,77.21648,-2082.96999999996,54.81926866733925
18.23949,77.21578000000001,-2082.749999999903,30.70730404913459
18.23439,77.21509,-2074.540000000488,37.38292981719297
18.22928,77.2144,-2044.600000000303,46.84892887073811
18.22418,77.21371000000001,-2032.569999999302,29.01003428101095
18.21907,77.21302,-2026.4100000007,51.20799462114852
18.21397,77.21231999999999,-2015.979999999709,36.18310205112923
18.20886,77.21163,-2022.040000000478,39.30863095250771
18.20376,77.21094000000001,-2021.260000000342,53.77213697818951
18.19865,77.21025,-2028.289999999617,38.81271511005186
