Iteration, Max iteration, Mean abs differential rot err, Min differential rotation err, Mean abs differential trans err, Min differential translation err
0, 1000, 0, 1.74533e-10, 0, 0.001
1, 1000, 0, 1.74533e-10, 0, 0.001
2, 1000, 0, 1.74533e-10, 0, 0.001
3, 1000, 0.000410098, 1.74533e-10, 37.3107, 0.001
4, 1000, 0.00010665, 1.74533e-10, 9.40551, 0.001
5, 1000, 8.24007e-05, 1.74533e-10, 1.83367, 0.001
6, 1000, 3.3713e-05, 1.74533e-10, 0.723915, 0.001
7, 1000, 1.92317e-05, 1.74533e-10, 0.274143, 0.001
8, 1000, 7.95755e-06, 1.74533e-10, 0.240089, 0.001
9, 1000, 2.87674e-06, 1.74533e-10, 0.141482, 0.001
10, 1000, 1.08993e-05, 1.74533e-10, 0.176204, 0.001
11, 1000, 1.19933e-05, 1.74533e-10, 0.222361, 0.001
12, 1000, 1.29071e-05, 1.74533e-10, 0.225908, 0.001
13, 1000, 4.29507e-06, 1.74533e-10, 0.117408, 0.001
14, 1000, 2.5906e-06, 1.74533e-10, 0.0759559, 0.001
15, 1000, 1.91122e-06, 1.74533e-10, 0.0626042, 0.001
16, 1000, 1.68395e-06, 1.74533e-10, 0.0666499, 0.001
17, 1000, 1.61173e-06, 1.74533e-10, 0.0697967, 0.001
18, 1000, 1.61174e-06, 1.74533e-10, 0.0697965, 0.001
19, 1000, 1.61174e-06, 1.74533e-10, 0.0697965, 0.001
20, 1000, 1.61174e-06, 1.74533e-10, 0.0697965, 0.001
21, 1000, 1.61174e-06, 1.74533e-10, 0.0697965, 0.001
22, 1000, 1.61174e-06, 1.74533e-10, 0.0697965, 0.001
23, 1000, 1.61174e-06, 1.74533e-10, 0.0697965, 0.001
24, 1000, 1.61174e-06, 1.74533e-10, 0.0697965, 0.001
25, 1000, 1.61174e-06, 1.74533e-10, 0.0697965, 0.001
26, 1000, 1.61174e-06, 1.74533e-10, 0.0697965, 0.001
27, 1000, 1.61174e-06, 1.74533e-10, 0.0697965, 0.001
