LONG_EAST,LAT_NORTH, TOPOGRAPHY,MOLA_RANGE, PLANET_RAD, C,A,  EMPHEMERIS_TIME,          UTC,          ORBIT
341.64546, 25.02310,   -3305.29, 408255.46,  3388954.00,1,0, -23212926.26687,1999-04-07T19:56:49.547, 10364
341.64475, 25.01810,   -3299.67, 408246.47,  3388960.82,1,0, -23212926.16687,1999-04-07T19:56:49.647, 10364
341.64404, 25.01300,   -3303.49, 408246.90,  3388958.21,1,0, -23212926.06686,1999-04-07T19:56:49.747, 10364
341.63275, 24.93220,   -3200.84, 408090.20,  3389080.10,1,0, -23212924.46680,1999-04-07T19:56:51.348, 10364
341.63205, 24.92720,   -3239.77, 408125.75,  3389042.37,1,0, -23212924.36680,1999-04-07T19:56:51.448, 10364
341.62090, 24.84630,   -3157.55, 407989.38,  3389143.81,1,0, -23212922.76674,1999-04-07T19:56:53.048, 10364
341.62020, 24.84130,   -3154.24, 407982.69,  3389148.32,1,0, -23212922.66673,1999-04-07T19:56:53.148, 10364
341.61951, 24.83620,   -3150.04, 407975.11,  3389153.72,1,0, -23212922.56673,1999-04-07T19:56:53.248, 10364
341.60844, 24.75530,   -3090.98, 407861.88,  3389231.98,1,0, -23212920.96667,1999-04-07T19:56:54.848, 10364
341.60774, 24.75030,   -3087.67, 407855.18,  3389236.49,1,0, -23212920.86667,1999-04-07T19:56:54.948, 10364
341.59658, 24.66940,   -3027.56, 407740.94,  3389315.75,1,0, -23212919.26661,1999-04-07T19:56:56.548, 10364
341.59584, 24.66440,   -3039.49, 407749.51,  3389305.02,1,0, -23212919.16660,1999-04-07T19:56:56.648, 10364
341.59514, 24.65940,   -3026.72, 407733.35,  3389318.98,1,0, -23212919.06660,1999-04-07T19:56:56.748, 10364
341.58385, 24.57860,   -3114.10, 407766.66,  3389250.69,1,0, -23212917.46654,1999-04-07T19:56:58.348, 10364
341.58314, 24.57350,   -3158.28, 407807.46,  3389207.70,1,0, -23212917.36653,1999-04-07T19:56:58.448, 10364
341.57190, 24.49270,   -3317.82, 407912.90,  3389067.24,1,0, -23212915.76647,1999-04-07T19:57:00.048, 10364
341.57120, 24.48760,   -3306.99, 407898.69,  3389079.26,1,0, -23212915.66647,1999-04-07T19:57:00.148, 10364
341.57050, 24.48260,   -3304.60, 407892.92,  3389082.84,1,0, -23212915.56647,1999-04-07T19:57:00.248, 10364
341.55950, 24.40160,   -3296.40, 407830.48,  3389110.12,1,0, -23212913.96641,1999-04-07T19:57:01.848, 10364
341.55881, 24.39650,   -3283.67, 407814.38,  3389124.04,1,0, -23212913.86640,1999-04-07T19:57:01.948, 10364
341.54779, 24.31550,   -3187.92, 407664.40,  3389238.82,1,0, -23212912.26635,1999-04-07T19:57:03.548, 10364
341.54710, 24.31040,   -3165.48, 407638.60,  3389262.44,1,0, -23212912.16635,1999-04-07T19:57:03.648, 10364
341.54640, 24.30540,   -3139.67, 407609.38,  3389289.44,1,0, -23212912.06635,1999-04-07T19:57:03.748, 10364
341.53511, 24.22450,   -3002.91, 407418.55,  3389445.15,1,0, -23212910.46629,1999-04-07T19:57:05.348, 10364
341.53440, 24.21950,   -3030.70, 407442.95,  3389418.55,1,0, -23212910.36628,1999-04-07T19:57:05.448, 10364
341.52301, 24.13870,   -3249.45, 407607.65,  3389218.71,1,0, -23212908.76622,1999-04-07T19:57:07.048, 10364
341.52231, 24.13360,   -3273.63, 407628.44,  3389195.71,1,0, -23212908.66622,1999-04-07T19:57:07.148, 10364
341.52161, 24.12860,   -3289.21, 407640.65,  3389181.31,1,0, -23212908.56621,1999-04-07T19:57:07.248, 10364
341.50573, 24.01230,   -3317.48, 407591.06,  3389180.15,1,0, -23212906.26613,1999-04-07T19:57:09.548, 10364
341.50505, 24.00730,   -3319.38, 407589.57,  3389179.43,1,0, -23212906.16612,1999-04-07T19:57:09.648, 10364
341.50436, 24.00220,   -3316.38, 407583.19,  3389183.61,1,0, -23212906.06612,1999-04-07T19:57:09.748, 10364
341.49549, 23.93650,   -3246.63, 407469.39,  3389268.65,1,0, -23212904.76607,1999-04-07T19:57:11.048, 10364
341.49480, 23.93140,   -3241.16, 407460.54,  3389275.29,1,0, -23212904.66607,1999-04-07T19:57:11.148, 10364
341.49411, 23.92640,   -3234.96, 407450.96,  3389282.67,1,0, -23212904.56606,1999-04-07T19:57:11.248, 10364
341.48295, 23.84550,   -3154.00, 407315.89,  3389382.41,1,0, -23212902.96600,1999-04-07T19:57:12.848, 10364
341.48224, 23.84050,   -3179.96, 407338.47,  3389357.63,1,0, -23212902.86600,1999-04-07T19:57:12.948, 10364
341.88708, 24.56960,   -3230.12, 401785.35,  3389139.22,1,0, -22636593.94694,1999-04-14T12:02:21.867, 10446
341.88637, 24.57470,   -3231.81, 401790.67,  3389136.32,1,0, -22636593.84694,1999-04-14T12:02:21.967, 10446
341.88565, 24.57980,   -3231.75, 401794.25,  3389135.17,1,0, -22636593.74693,1999-04-14T12:02:22.067, 10446
341.87414, 24.66090,   -3201.14, 401821.90,  3389146.33,1,0, -22636592.14687,1999-04-14T12:02:23.667, 10446
341.87343, 24.66590,   -3203.79, 401828.21,  3389142.46,1,0, -22636592.04687,1999-04-14T12:02:23.767, 10446
341.86207, 24.74690,   -3228.28, 401910.99,  3389098.52,1,0, -22636590.44681,1999-04-14T12:02:25.368, 10446
341.86136, 24.75200,   -3215.20, 401901.53,  3389110.39,1,0, -22636590.34680,1999-04-14T12:02:25.468, 10446
341.86065, 24.75700,   -3209.79, 401899.79,  3389114.58,1,0, -22636590.24680,1999-04-14T12:02:25.568, 10446
341.84929, 24.83800,   -3187.21, 401935.46,  3389117.70,1,0, -22636588.64674,1999-04-14T12:02:27.168, 10446
341.84858, 24.84310,   -3158.70, 401910.61,  3389144.99,1,0, -22636588.54673,1999-04-14T12:02:27.268, 10446
341.83712, 24.92400,   -3044.68, 401854.87,  3389239.51,1,0, -22636586.94667,1999-04-14T12:02:28.868, 10446
341.64687, 25.03320,   -3355.56, 408312.47,  3388901.32,1,0, -23212926.46688,1999-04-07T19:56:49.347, 10364
341.64616, 25.02820,   -3318.71, 408272.26,  3388939.37,1,0, -23212926.36687,1999-04-07T19:56:49.447, 10364
341.63485, 24.94740,   -3241.22, 408140.70,  3389036.11,1,0, -23212924.76681,1999-04-07T19:56:51.048, 10364
341.63415, 24.94230,   -3249.17, 408145.28,  3389029.36,1,0, -23212924.66681,1999-04-07T19:56:51.148, 10364
341.63345, 24.93730,   -3219.83, 408112.55,  3389059.90,1,0, -23212924.56681,1999-04-07T19:56:51.248, 10364
341.62228, 24.85640,   -3170.19, 408008.79,  3389128.77,1,0, -23212922.96675,1999-04-07T19:56:52.848, 10364
341.62159, 24.85140,   -3166.41, 408001.63,  3389133.75,1,0, -23212922.86674,1999-04-07T19:56:52.948, 10364
341.61189, 24.78060,   -3138.11, 407925.94,  3389178.85,1,0, -23212921.46669,1999-04-07T19:56:54.348, 10364
341.61119, 24.77560,   -3128.33, 407912.78,  3389189.83,1,0, -23212921.36669,1999-04-07T19:56:54.448, 10364
341.59798, 24.67950,   -2993.82, 407713.96,  3389347.09,1,0, -23212919.46661,1999-04-07T19:56:56.348, 10364
341.59728, 24.67450,   -2988.55, 407705.31,  3389353.56,1,0, -23212919.36661,1999-04-07T19:56:56.448, 10364
341.58597, 24.59370,   -3040.30, 407703.00,  3389320.91,1,0, -23212917.76655,1999-04-07T19:56:58.048, 10364
341.58527, 24.58870,   -3001.23, 407660.56,  3389361.17,1,0, -23212917.66655,1999-04-07T19:56:58.148, 10364
